"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"blank_rulheadtext2","2.1) IT is PROHIBITED to use software, cheats, as well as any programs that give an advantage over other players;<br/>2.2) The use of game/server bugs is PROHIBITED;<br/>2.3) IT is FORBIDDEN to play without textures, grass (via NVIDIA and similar software). (Note: Exception: NVIDIA Filters).","2.1) IT is PROHIBITED to use software, cheats, as well as any programs that give an advantage over other players;<br/>2.2) The use of game/server bugs is PROHIBITED;<br/>2.3) IT is FORBIDDEN to play without textures, grass (via NVIDIA and similar software). (Note: Exception: NVIDIA Filters).","2.1) je zakázáno používat software, cheaty, stejně jako jakýkoli software, který dává výhodu nad ostatními hráči;<br/>2.2) je zakázáno používat chyby hry/serveru;<br/>2.3) je zakázáno hrát bez textur, trávy (přes NVIDIA a podobný software). (Poznámka: výjimka: filtry NVIDIA).","2.1) Es ist verboten, Software, Cheats oder Programme zu verwenden, die anderen Spielern einen Vorteil verschaffen;<br/>2.2) Es ist verboten, Spiel-/Server-Fehler zu verwenden;<br/>2.3) ES ist verboten, ohne Texturen, Gras zu spielen (über NVIDIA und ähnliche Software). (Hinweis: Ausnahme: NVIDIA-Filter).","2.1) ЗАПРЕЩЕНО использование софта, читов, а так же любых программ, дающих преимущество над другими игроками;<br/>2.2) ЗАПРЕЩЕНО использование багов игры/сервера;<br/>2.3) ЗАПРЕЩЕНО играть без текстур, травы (через NVIDIA и подобным софтом). (Примечание: Исключение: Фильтры NVIDIA).","2.1) zabronione jest używanie oprogramowania, kodów, a także wszelkich programów, które dają przewagę nad innymi graczami;<br/>2.2) zabronione jest używanie błędów gry/serwera;<br/>2.3) zabronione jest granie bez tekstur, trawy (przez NVIDIA i podobne oprogramowanie). (Uwaga: wyjątek: filtry NVIDIA).","2.1) tilos olyan szoftvereket, csalásokat, valamint olyan programokat használni, amelyek előnyt nyújtanak más játékosokkal szemben;<br/>2.2) tilos a játék/szerver hibák használata;<br/>2.3) tilos textúrák, fű nélkül játszani (NVIDIA és hasonló szoftvereken keresztül). (Megjegyzés: kivétel: NVIDIA szűrők).","2.1) è vietato l'uso di software, trucchi, nonché qualsiasi programma che dia un vantaggio rispetto ad altri giocatori;<br/>2.2) è vietato l'uso di bug di gioco/Server;<br/>2.3) è vietato giocare senza texture, erba (tramite NVIDIA e software simili). (Nota: eccezione: filtri NVIDIA).","2.1) está PROHIBIDO el uso de software, trucos, así como cualquier programa que dé una ventaja sobre otros jugadores;<br/>2.2) está PROHIBIDO el uso de errores del juego/servidor;<br/>2.3) está PROHIBIDO jugar sin texturas, hierba (a través de NVIDIA y software similar). (Nota: Excepción: filtros NVIDIA).","2.1) il est INTERDIT d'utiliser des logiciels, des tricheurs, ainsi que des programmes qui donnent un avantage sur les autres joueurs;<br/>2.2) il est INTERDIT d'utiliser des bugs de jeu/serveur;<br/>2.3) il est INTERDIT de jouer sans textures, herbe (via NVIDIA et un logiciel similaire). (Remarque: Exception: filtres NVIDIA).","2.1）禁止使用软件，作弊，以及任何给其他玩家优势的程序;<br/>2.2）禁止使用游戏/服务器错误;<br/>2.3）禁止在没有纹理，草地（通过NVIDIA和类似软件）的情况下玩 （注：例外：NVIDIA过滤器）。","2.1）ソフトウェア、チート、および他のプレイヤーよりも有利なプログラムを使用することは禁止されています。<br/>2.2）ゲーム/サーバーのバグの使用は禁止されています。<br/>2.3）テクスチャ、草なしでプレイすることは禁止されています（NVIDIAおよび同様のソフトウェアを介して）。 （注：例外：NVIDIAフィルター）。","2.1) é proibido o uso de software, truques, bem como qualquer programa que dê uma vantagem sobre outros jogadores;<br/>2.2) é proibido o uso de bugs do jogo/servidor;<br/>2.3) é proibido jogar sem texturas, grama (via NVIDIA e software similar). (Nota: exceção: filtros NVIDIA).","2.1）禁止使用软件，作弊，以及任何给其他玩家优势的程序;<br/>2.2）禁止使用游戏/服务器错误;<br/>2.3）禁止在没有纹理，草地（通过NVIDIA和类似软件）的情况下玩 （注：例外：NVIDIA过滤器）。",
"blank_rulhead3","In-game violations","In-game violations","Herní poruchy","Verstöße im Spiel","Внутриигровые нарушения","Naruszenia w grze","Játékon belüli jogsértések","Violazioni del gioco","Infracciones en el juego","Violations dans le jeu","游戏内违规行为","ゲーム内の違反","Violações no jogo","游戏内违规行为",
"blank_rulheadtext3","3.1) IT is FORBIDDEN to interfere with the gameplay of other players in any way not specified in the rules within this server (Note: it is forbidden to flood, spam the chat, as well as in the voice channel, turn on music, as well as any other audio materials).","3.1) IT is FORBIDDEN to interfere with the gameplay of other players in any way not specified in the rules within this server (Note: it is forbidden to flood, spam the chat, as well as in the voice channel, turn on music, as well as any other audio materials).","3.1) je zakázáno narušovat hru ostatních hráčů v rámci tohoto serveru (poznámka: je zakázáno flámovat, spamovat v chatu, ale také v hlasovém kanálu, zapínat hudbu, stejně jako jakýkoli jiný zvukový materiál).","3.1) Es ist verboten, das Gameplay anderer Spieler in irgendeiner Weise zu stören, die nicht in den Regeln dieses Servers angegeben ist (Hinweis: Es ist verboten, in einen Chat zu verwickeln, zu spammen, in einen Sprachkanal zu schreiben, Musik oder andere Audiomaterialien aufzunehmen).","3.1) ЗАПРЕЩЕНО создавать помехи игровому процессу других игроков каким либо образом не указаном в правилах в рамках данного сервера (Примечание: запрещено флудить, спамить в чат, а так же в голосовой канал, включать музыку, а так же любые другие аудио материалы).","3.1) zabronione jest zakłócanie rozgrywki innych graczy w jakikolwiek sposób nie określony w Regulaminie w ramach tego serwera (Uwaga: zabronione jest flądrowanie, spamowanie na czacie, a także na kanale głosowym, włączanie muzyki, a także innych materiałów audio).","3.1) tilos a szerveren belüli szabályokban nem meghatározott módon beavatkozni más játékosok játékmenetébe (Megjegyzés: tilos elárasztani, spamelni a csevegést, valamint a hangcsatornában, bekapcsolni a zenét, valamint bármilyen más hanganyagot).","3.1) è vietato interferire con il gameplay di altri giocatori in alcun modo non specificato nelle regole all'interno di questo server (nota: è vietato inondare, spam nella chat, così come nel canale vocale, includere musica, così come qualsiasi altro materiale audio).","3.1) está PROHIBIDO interferir con el proceso de juego de otros jugadores de cualquier manera no especificada en las reglas dentro de este servidor (nota: está Prohibido transmitir, enviar spam al chat, así como al canal de voz, incluir música, así como cualquier otro material de audio).","3.1) il est INTERDIT d'interférer avec le gameplay des autres joueurs de quelque manière que ce soit non spécifié dans les règles dans le cadre de ce serveur (Note: il est interdit de diffuser, de spammer dans le chat, ainsi que dans le canal vocal, d'inclure de la musique, ainsi que tout autre matériel audio).","3.1）禁止以本服务器内规则未规定的任何方式干扰其他玩家的游戏玩法（注意：禁止淹没，垃圾邮件聊天，以及在语音频道，打开音乐以及任何其他音频材","3.1)このサーバー内のルールに指定されていない方法で他のプレイヤーのゲームプレイを妨害することは禁じられています(注:チャット、音声チャンネル、音楽、その他のオーディオ素材をオンにすることは禁止されています)。","3.1) é proibido interferir com a jogabilidade de outros jogadores de qualquer forma não especificada nas regras dentro deste servidor (Nota: é proibido flood, spam no bate-papo, bem como no canal de voz, incluir música, bem como qualquer outro material de áudio).","3.1）禁止以本服务器内规则未规定的任何方式干扰其他玩家的游戏玩法（注意：禁止淹没，垃圾邮件聊天，以及在语音频道，打开音乐以及任何其他音频材",
"blank_rulhead4","Other","Other","Ostatní","Ander","Прочее","Reszta","Egyéb","Il resto","Demás","Autre","其他","その他","O restante","其他",
"blank_rulheadtext4","The project administration has the right to issue a block for violation of certain points of the rules for a period that we consider reasonable based on the severity of the violation.<br/>Not knowing the rules does not absolve you from responsibility!","The project administration has the right to issue a block for violation of certain points of the rules for a period that we consider reasonable based on the severity of the violation.<br/>Not knowing the rules does not absolve you from responsibility!","Správa projektu je oprávněna vydat blokaci za porušení určitých bodů pravidel po dobu, kterou považujeme za přiměřenou na základě závažnosti porušení.<br/> neznalost pravidel nezbavuje odpovědnosti!","Die Projektverwaltung hat das Recht, eine Sperre für die Verletzung bestimmter Punkte der Regeln für einen Zeitraum auszugeben, der aufgrund der Schwere der Verletzung als angemessen erachtet wird.<br/>Keine Kenntnis der Regeln entbindet nicht von der Haftung!","Администрация проекта вправе выдавать блокировку за нарушение тех или иных пунктов правил на срок, который посчитаем разумным исходя из тяжести нарушения.<br/>Не знание правил не освобождает от ответственности!","Administracja projektu ma prawo wydać blokadę za naruszenie niektórych punktów zasad przez okres, który uznamy za rozsądny w zależności od ciężkości naruszenia.<br/>brak znajomości Regulaminu nie zwalnia z odpowiedzialności!","A projektigazgatásnak joga van blokkot kiadni a szabályok bizonyos pontjainak megsértésére egy olyan időszakra, amelyet a jogsértés súlyossága alapján ésszerűnek tartunk.<br/>a szabályok ismerete nem mentesíti Önt a felelősség alól!","L'amministrazione del progetto ha il diritto di emettere un blocco per violazione di determinati punti delle regole per un periodo che riteniamo ragionevole in base alla gravità della violazione.< br/>non conoscere le regole non esonera da responsabilità!","La administración del proyecto tiene el derecho de emitir un bloqueo por violación de ciertos párrafos de las reglas durante el período que consideremos razonable en función de la gravedad de la violación.<br / > el conocimiento de las reglas no exime de responsabilidad!","L'administration du projet a le droit d'émettre un blocage pour violation de certains points des règles pour une période que nous considérons raisonnable en fonction de la gravité de la violation.<br / > aucune connaissance des règles n'exonère de responsabilité!","项目管理部门有权根据违规的严重程度，在我们认为合理的一段时间内对违反规则的某些要点发出阻止。<br/>不知道规则并不能免除你的责任！","プロジェクト管理は、違反の重大度に基づいて合理的であると考える期間、ルールの特定のポイントの違反のブロックを発行する権利を有します。<br/>ルールを知らないことは責任からあなたを免れるものではありません！","A administração do projeto tem o direito de emitir um bloqueio por violação de certos pontos das regras por um período que seja considerado razoável com base na gravidade da violação.< br/>não conhecer as regras não isenta de responsabilidade!","项目管理部门有权根据违规的严重程度，在我们认为合理的一段时间内对违反规则的某些要点发出阻止。<br/>不知道规则并不能免除你的责任！",
"blank_queue","Make a cup of coffee and wait a bit. Or -","Make a cup of coffee and wait a bit. Or -","Dejte si kafe a chvíli počkejte. Nebo -","Mach eine Tasse Kaffee und warte eine Weile. Oder -","Сделай чашечку кофе и немного подожди. Или -","Zrób filiżankę kawy i poczekaj chwilę. Lub -","Készítsen egy csésze kávét, és várjon egy kicsit. Vagy -","Prendi una tazza di caffè e aspetta un po'. Sia -","Haz una taza de café y espera un poco. O -","Prends un café et attends un peu. Ou -","做一杯咖啡，并等待了一下。 或 -","一杯のコーヒーを作り、少し待ってください。 または -","Faz um café e espera um pouco. Ou -","做一杯咖啡，并等待了一下。 或 -",
"blank_vip","BUY A VIP PASS","BUY A VIP PASS","KUPTE SI VIP VSTUPENKU","KAUFE EINEN VIP-PASS","КУПИ VIP-ПРОПУСК","KUP PRZEPUSTKĘ VIP","VIP BÉRLET VÁSÁRLÁSA","ACQUISTA UN PASS VIP","COMPRA UN PASE VIP","ACHETEZ UN LAISSEZ-PASSER VIP","购买VIP通行证","VIPパスを購入する","COMPRE UM PASSE VIP","购买VIP通行证",
"STR_blank_random_text1","Before playing, be sure to read the rules of the server.","Before playing, be sure to read the rules of the server.","Před hraním se nezapomeňte podívat na pravidla serveru.","Lesen Sie unbedingt die Serverregeln, bevor Sie spielen.","Прежде чем играть обязательно ознакомьтесь с правилами сервера.","Przed rozpoczęciem gry należy zapoznać się z zasadami serwera.","Lejátszás előtt feltétlenül olvassa el a szerver szabályait.","Prima di giocare, assicurati di leggere le regole del server.","Antes de jugar, asegúrese de Leer las reglas del servidor.","Avant de jouer, assurez-vous de lire les règles du serveur.","在播放之前，请务必阅读服务器的规则。","プレイする前に、必ずサーバーのルールをお読みください。","Antes de jogar, certifique-se de ler as regras do servidor.","在播放之前，请务必阅读服务器的规则。",
"STR_blank_random_text2","Ignorance of the rules does not absolve you from responsibility!","Ignorance of the rules does not absolve you from responsibility!","Neznalost pravidel nezbavuje odpovědnosti!","Die Unkenntnis der Regeln entbindet nicht von der Verantwortung!","Незнание правил не освобождает от ответственности!","Nieznajomość zasad nie zwalnia z odpowiedzialności!","A szabályok figyelmen kívül hagyása nem mentesíti Önt a felelősség alól!","L'ignoranza delle regole non esonera dalla responsabilità!","¡El desconocimiento de las reglas no exime de responsabilidad!","L'ignorance des règles n'exonère pas de responsabilité!","对规则的无知并不能免除你的责任!","ルールを知らないからといって、あなたは責任を免れることはありません！","A ignorância das regras não exime a responsabilidade!","对规则的无知并不能免除你的责任!",
"STR_blank_random_text3","The interface was developed by blanksoftware - eas1ly [t.me/eas1ly discord.gg/xt2GGzfFY7 ]","The interface was developed by blanksoftware - eas1ly [t.me/eas1ly discord.gg/xt2GGzfFY7 ]","Rozhraní vyvinula společnost blanksoftware-eas1ly [t.me/eas1ly discord.gg/xt2GGzfFY7]","Die Schnittstelle wurde von blanksoftware - eas1ly entwickelt [t.me/eas1ly discord.gg/xt2GGzfFY7 ]","Интерфейс разработала компания blanksoftware - eas1ly [t.me/eas1ly discord.gg/xt2GGzfFY7]","Interfejs opracował firma blanksoftware-eas1ly [t.me/eas1ly discord.gg/xt2GGzfFY7]","A felületet a blanksoftware fejlesztette ki-eas1ly [t.me/eas1ly discord.gg/xt2GGzfFY7 ]","L'interfaccia è stata sviluppata da blanksoftware-eas1ly [t.me/eas1ly discord.gg/xt2GGzfFY7]","La interfaz fue desarrollada por blanksoftware-eas1ly [t.me/eas1ly discord.gg/xt2GGzfFY7]","L'interface a été développée par blanksoftware-eas1ly [t.me/eas1ly discord.gg/xt2GGzfFY7]","界面由blanksoftware-eas1ly开发[t.me/eas1ly discord.gg/xt2GGzfFY7 ]","インターフェイスはblanksoftware-eas1lyによって開発されました[t.me/eas1ly discord.gg/xt2GGzfFY7 ]","A interface foi desenvolvida pela blanksoftware-eas1ly t.me/eas1ly discord.gg/xt2GGzfFY7]","界面由blanksoftware-eas1ly开发[t.me/eas1ly discord.gg/xt2GGzfFY7 ]",
"STR_blank_random_text4","Flood, spam, as well as insults in the chat and voice channel are prohibited. The use of any audio materials is BANNED!","Flood, spam, as well as insults in the chat and voice channel are prohibited. The use of any audio materials is BANNED!","Zakázán je flood, spam, ale také urážka na chatu a hlasovém kanálu. Použití jakéhokoli zvukového materiálu-ban!","Flut, Spam und Beleidigung im Chat- und Sprachkanal sind verboten. Die Verwendung von Audioinhalten ist VERBOTEN!","Запрещено флуд, спам, а так же оскорбление в чате и голосовом канале. Использование любых аудиоматериалов - БАН!","Powódź, spam, a także zniewaga na czacie i kanale głosowym są zabronione. Korzystanie z dowolnego materiału audio-ban!","Árvíz, spam, valamint sértéseket a chat, hang csatorna tilos. A hanganyagok használata tilos!","È vietato inondazioni, spam, nonché insulti nella chat e nel canale vocale. L'uso di qualsiasi materiale audio-ban!","Está Prohibido Flood, spam, así como insultos en el chat y el canal de voz. El uso de cualquier material de audio - BAN!","Il est interdit de Flood, spam, ainsi que l'insulte dans le chat et la chaîne vocale. L'utilisation de tout matériel audio-BAN!","禁止洪水，垃圾邮件以及聊天和语音频道中的侮辱。 禁止使用任何音频材料！","洪水、スパム、チャットや音声チャンネルの侮辱は禁止されています。 オーディオ素材の使用は禁止されています！","É proibido flood, spam, bem como insultos no chat e no canal de voz. Utilização de qualquer material de áudio-ban!","禁止洪水，垃圾邮件以及聊天和语音频道中的侮辱。 禁止使用任何音频材料！",
"STR_blank_random_text5","It is forbidden to use software that gives an advantage over other players (cheats, disabling textures). The punishment is BAN!","It is forbidden to use software that gives an advantage over other players (cheats, disabling textures). The punishment is BAN!","Je zakázáno používat software, který dává výhodu nad ostatními hráči (cheaty, zakázání textur). Trest je ban!","Es ist verboten, Software zu verwenden, die einen Vorteil gegenüber anderen Spielern bietet (Cheats, Texturen deaktivieren). Die Strafe ist BAN!","Запрещено использовать софт, дающий преимущество над другими игроками (читы, отключение текстур). Наказание - БАН!","Zabronione jest używanie oprogramowania, które daje przewagę nad innymi graczami (kody, wyłączanie tekstur). Kara-Ban!","Tilos olyan szoftvert használni, amely előnyt jelent más játékosokkal szemben (csalások, textúrák letiltása). A büntetés tilalom!","È vietato utilizzare software che dia un vantaggio rispetto ad altri giocatori (trucchi, disabilitazione delle trame). La punizione è ban!","Está Prohibido usar software que le da una ventaja sobre otros jugadores (trucos, desactivación de texturas). Castigo-BAN!","Il est interdit d'utiliser des logiciels donnant un avantage sur les autres joueurs (tricheurs, désactiver les textures). La punition est BAN!","禁止使用比其他玩家更具优势的软件（作弊，禁用纹理）。 惩罚是禁令！","他のプレイヤーよりも利点を与えるソフトウェアを使用することは禁じられています（チート、テクスチャを無効にする）。 罰は禁止です！","É proibido usar software que dê uma vantagem sobre outros jogadores (fraudes, desativação de texturas). Punição-ban!","禁止使用比其他玩家更具优势的软件（作弊，禁用纹理）。 惩罚是禁令！",
"STR_blank_random_text6","You can donate to our server in our discord or through the administrator's contacts.","You can donate to our server in our discord or through the administrator's contacts.","Náš server můžete darovat na našem disku nebo prostřednictvím kontaktů správce.","Sie können unseren Server in unserer Diskordanz oder über Administratorkontakte spenden.","Вы можете пожертвовать нашему серверу в нашем дискорде или через контакты администратора.","Możesz przekazać darowiznę na nasz serwer w naszym Discord lub za pośrednictwem kontaktów administratora.","Adományozhat szerverünknek a discord - ban vagy az adminisztrátor kapcsolatain keresztül.","Puoi donare al nostro server nel nostro Discord o tramite i contatti dell'amministratore.","Puede donar a nuestro servidor en nuestro Discord o a través de los contactos del administrador.","Vous pouvez faire un don à notre serveur dans notre discord ou via les contacts de l'administrateur.","您可以捐赠给我们的服务器在我们的不和或通过管理员的联系人。","Discordまたは管理者の連絡先からサーバーに寄付することができます。","Você pode doar para o nosso servidor em nosso Discord ou através dos contatos do administrador.","您可以捐赠给我们的服务器在我们的不和或通过管理员的联系人。",
"blank_youplay","YOU ARE PLAYING ON THE SERVER: ","YOU ARE PLAYING ON THE SERVER: ","HRAJETE NA SERVERU: ","SIE SPIELEN AUF EINEM SERVER: ","ВЫ ИГРАЕТЕ НА СЕРВЕРЕ: ","GRASZ NA SERWERZE: ","A SZERVEREN JÁTSZOL: ","STAI GIOCANDO SUL SERVER: ","USTED JUEGA EN EL SERVIDOR: ","VOUS JOUEZ SUR LE SERVEUR: ","你在服务器上玩: ","あなたはサーバー上で再生しています: ","VOCÊ JOGA NO SERVIDOR: ","你在服务器上玩: ",
"blank_exiting","sec. before the exit","sec. before the exit","sec. před výstupem","s. bis zum Ausgang","сек. до выхода","sicz. przed wyjściem","sec. a kijárat előtt","frustato. fino all'uscita","corto. hasta la salida","fouettas. jusqu'à la sortie","出口前一秒","出口の前に秒。","gravar. antes da saída","出口前一秒",
"blank_title","BLANK TEST SERVER","BLANK TEST SERVER","BLANK TEST SERVER","BLANK TEST SERVER","BLANK TEST SERVER","BLANK TEST SERVER","BLANK TEST SERVER","BLANK TEST SERVER","BLANK TEST SERVER","BLANK TEST SERVER","空白测试服务器","空のテストサーバー","BLANK TEST SERVER","空白测试服务器",
"blank_info1","- Good server hardware.<br/>- A moderate number of modifications and changes.<br/>- Unique mapping entering the DayZ atmosphere.<br/>- The main focus of servers on PvP.<br/>","- Good server hardware.<br/>- A moderate number of modifications and changes.<br/>- Unique mapping entering the DayZ atmosphere.<br/>- The main focus of servers on PvP.<br/>","- Dobré serverové železo.<br/> - mírný počet modifikací a změn.<br/> - unikátní DayZ mapping.<br / > - hlavní zaměření serverů na PvP.<br/>","- Gutes Server-Eisen.<br/>- Eine moderate Anzahl von Änderungen und Änderungen.<br/>- Einzigartiges DayZ-Mapping, das in die Atmosphäre eingeht.<br/>- Der Schwerpunkt der PvP-Server.<br/>","- Хорошее серверное железо.<br/>- Умеренное количество модификаций и изменений.<br/>- Уникальный входящий в атмосферу DayZ маппинг.<br/>- Основная направленность серверов на PvP.<br/>","- Dobry sprzęt serwerowy.<br/> umiarkowana ilość modyfikacji i zmian.<br/> wyjątkowy, wchodzący w atmosferę DayZ mapping.< br/> Główna koncentracja serwerów Na PvP.<br/>","- Jó szerver hardver.<br/ > - mérsékelt számú módosítás és változtatás.<br/> - egyedi leképezés belépő Dayz légkörben.<br/> - a fő hangsúly a szerverek PvP.<br/>","- Buon hardware del server.< br / > - un numero moderato di modifiche e modifiche.<br / > - unica entrata atmosfera DayZ mapping.< br/>- l'obiettivo principale dei server sul PvP.<br/>","- Buen servidor de hierro.< br/>- cantidad Moderada de modificaciones y cambios.<br><br / > - el enfoque Principal de los servidores en PvP.<br/>","- Bon matériel de serveur.<br / > - nombre Modéré de modifications et de modifications.<br / > - unique dans l'atmosphère De Dayz mapping.<br / > - l'accent Principal des serveurs sur le PvP.<br/>","-良好的服务器硬件。<br/>-适度数量的修改和变化。<br/>-进入DayZ氛围的独特映射。<br/>-在PvP服务器的主要焦点。<br/>","-良いサーバーハードウェア。<br/>-適度な数の変更と変更。-DayZの雰囲気に入るユニークなマッピング。<br/>-PvP上のサーバーの主な焦点。<br/>","- Bom hardware de servidor.< br / > - número moderado de modificações e modificações.< br/>- um mapeamento DayZ único que entra na atmosfera.< br / > - foco principal dos servidores em PvP.<br/>","-良好的服务器硬件。<br/>-适度数量的修改和变化。<br/>-进入DayZ氛围的独特映射。<br/>-在PvP服务器的主要焦点。<br/>",
"blank_title3","IP address:","IP address:","IP adresa:","IP Adresse:","Айпи адрес:","Adres IP:","IP-cím:","Indirizzo IP:","Dirección IP:","Adresse IP:","IP地址：","IPアドレス：","IP address:","IP地址：",
